asset_id,name,asset_class,site,manufacturer,model,commissioned_year,run_hours,design_life_hours,design_life_years,annual_run_hours,annual_downtime_hours,unplanned_failures_12m,specific_consumption,baseline_specific_consumption,consumption_unit,load_factor,rated_output,actual_output,output_unit,duty_task,duty_power_required,energy_source,annual_maint_cost,cumulative_maint_cost,replacement_value,salvage_value,currency,vibration_zone,oil_analysis,thermography,insulation,oem_support,spare_lead_days,safety_findings,emissions_status,annual_output_total,energy_price,downtime_cost_per_hour,new_unit_capital,new_unit_life_years,new_unit_specific_consumption,notes
GEN-01,Standby genset - main feed plant,diesel_genset,Sadat City Mill,Perkins,2506A-E15TAG2,2019,12400,30000,20,2600,22,1,0.272,0.265,L/kWh,0.75,400,396,kW,Plant standby supply,300,diesel,62000,210000,3800000,1600000,EGP,a,normal,normal,good,supported,21,0,compliant,780000,15.5,4500,3800000,20,0.265,Healthy. Fuel log kept monthly since commissioning.
GEN-02,Prime genset - hatchery,diesel_genset,Wadi El Natrun Farms,Cummins,C250 D5,2011,31800,30000,20,3100,180,7,0.318,0.268,L/kWh,0.7,200,168,kW,Hatchery prime power,140,diesel,310000,1450000,2100000,320000,EGP,c,alert,caution,caution,limited,75,0,marginal,434000,15.5,6200,2100000,20,0.262,Fuel consumption trending up since Q1. Smoke on load pickup.
GEN-03,Standby genset - cold store,diesel_genset,Sadat City Mill,FG Wilson,P150-3,2014,,,,,,,,,L/kWh,,120,,kW,,,diesel,,,1250000,,EGP,,,,,supported,45,,,,15.5,,,,,No hour meter and no fuel log. Assessment blocked pending metering.
GEN-04,Genset - admin block,diesel_genset,HQ - Nasr City,Perkins,1103A-33TG2,2018,9800,30000,20,2100,30,1,0.361,0.268,L/kWh,0.22,60,58,kW,Admin block supply,13,diesel,41000,145000,890000,380000,EGP,b,normal,normal,good,supported,28,0,compliant,27720,15.5,900,890000,20,0.265,Serves the admin block only. Load never exceeds a quarter of rated.
TRC-01,Tractor - spraying duty,tractor,Agri - Wadi El Natrun,John Deere,8R 370,2019,4200,12000,15,520,14,1,,0.25,L/kWh,0.16,373,370,kW,Pesticide spraying,60,diesel,180000,520000,6500000,3900000,EGP,a,normal,,,supported,40,0,,,15.5,2200,,,,500 hp machine assigned to a light spraying run. Machine sound; allocation is not.
TRC-02,Tractor - primary tillage,tractor,Agri - Wadi El Natrun,Massey Ferguson,MF 7724,2016,8900,12000,15,1150,68,4,0.29,0.25,L/kWh,0.78,175,158,kW,Primary tillage - heavy disc harrow,140,diesel,290000,1180000,3100000,760000,EGP,b,caution,caution,,supported,55,0,marginal,157000,15.5,3400,3100000,15,0.24,"Correctly matched to its implement. Wear is genuine, not allocation."
HTR-11,Brooder - house 3,space_heater,Wadi El Natrun Farms,Systel,GP-120,2020,11600,25000,10,2900,40,3,0.128,0.11,m3/kWh_th,0.79,120,112,kW_th,House heating - brooding,95,natural_gas,38000,126000,420000,95000,EGP,,,caution,,supported,30,0,compliant,274920,4.5,5800,420000,10,0.104,Burner needs recommissioning. Largest single fuel user on the farm.
FAN-06,Tunnel ventilation - house 3,ventilation_fan,Wadi El Natrun Farms,Munters,EM50,2017,48000,70000,15,7100,95,5,0.061,0.048,kWh/1000m3,0.68,38000,31500,m3/h,,,electricity,54000,290000,380000,45000,EGP,c,,alert,,supported,35,0,,183464,2.15,7400,380000,15,0.045,Shutters fouled and belts slipping. Runs almost continuously in summer.
BLR-01,Steam boiler - pellet line,steam_boiler,Sadat City Mill,Bosch,U-ND 2000,2014,52000,200000,25,5200,110,4,78.5,68,m3/ton_steam,0.62,2000,1720,kg/h,Pellet conditioning steam,1240,natural_gas,215000,980000,2600000,290000,EGP,,,caution,,supported,60,0,marginal,6448,4.5,8600,2600000,25,64,Stack temperature rising. Excess air and blowdown losses not yet quantified.
MIL-07,Hammer mill - feed line A,hammer_mill,Sadat City Mill,Buhler,DFZC-1265,2013,41200,60000,15,4100,310,11,,,kWh/ton,,12,9.4,t/h,,,electricity,420000,1980000,2900000,260000,EGP,c,caution,alert,caution,discontinued,110,0,,,2.15,9500,2900000,15,,Screens and hammers replaced three times in 12 months. No energy metering on this line.
CMP-02,Screw compressor - packaging,air_compressor,Sadat City Mill,Atlas Copco,GA37,2012,38600,45000,15,3900,145,5,0.132,0.108,kWh/m3,,6.1,5.2,m3/min,Packaging line air,4.4,electricity,165000,720000,980000,110000,EGP,b,caution,alert,,supported,40,1,,1216800,2.15,5200,1150000,15,0.105,Relief valve certification overdue - open critical safety finding.
CHL-01,Chiller - process cooling,chiller,Sadat City Mill,Carrier,30XA-352,2017,29500,60000,20,4600,22,2,0.79,0.7,kW/TR,0.66,350,322,TR,,,electricity,145000,520000,4200000,1150000,EGP,b,normal,caution,good,supported,30,0,compliant,1062600,2.15,7800,4200000,20,0.68,Condenser coils fouled. Approach temperature rising through summer.
VEH-12,Forklift - dispatch yard,forklift,Sadat City Mill,Toyota,8FD25,2015,16400,20000,10,1850,132,6,3.9,3.2,L/h,,2500,2500,kg,,,diesel,96000,340000,720000,85000,EGP,,caution,,,supported,25,0,marginal,1850,15.5,1400,720000,10,3.1,Recurring hydraulic leak. Brake service overdue.
